ID	DOCULECT	CONCEPT	TOKENS	MORPHEMES	COMPOUNDS	COGIDS	AUTOID	STRICTID	LOOSEID	CHARACTERS_IS	CHARACTERS	LEXEME_NOTE	CONCEPT_CHINESE	STRUCTURE	NOTE
156	Jixi	all	tɕʰ ɥ ẽ ⁴⁴ + pʰ u ³¹	complete/全 part/部	N N	54 55	1	4	1	全部	全 部		全部	i m n t + i n t	copula-compound
157	Suzhou	all	z j ɪ ¹³ + b u ²³¹	complete/全 part/部	N N	54 55	1	4	1	全部	全 部		全部	i m n t + i n t	copula-compound
158	Wenzhou	all	j y ³⁴¹ + b u ²⁴	complete/全 part/部	N N	54 55	1	4	1	全部	全 部		全部	i n t + i n t	copula-compound
159	Changsha	all	tɕʰ ɥ ẽ ¹³ + p u ¹¹	complete/全 part/部	N N	54 55	1	4	1	全部	全 部		全部	i m n t + i n t	
160	Loudi	all	dz w ĩ ¹³ + b u ¹¹	complete/全 part/部	N N	54 55	1	4	1	全部	全 部		全部	i m n t + i n t	
161	Nanchang	all	tɕʰ ɥ o n ²⁴ + p u ⁰	complete/全 part/部	N N	54 55	1	4	1	全部	全 部		全部	i m n c t + i n t	copula-compound
162	Meixian	all	tɕʰ j e n ¹¹ + pʰ u ⁵³	complete/全 part/部	N N	54 55	1	4	1	全部	全 部		全部	i m n c t + i n t	copula-compound
163	Guilin	all	tɕ ɥ ã ²² + p u ²¹	complete/全 part/部	N N	54 55	1	4	1	全部	全 部		全部	i m n t + i n t	copula-compound
164	Guangzhou	all	tsʰ y n ²¹ + p ou ²²	complete/全 part/部	N N	54 55	1	4	1	全部	全 部		全部	i n c t + i n t	copula-compound
165	Fuzhou	all	k o ²¹² + l ou ŋ ⁵³ + ŋ a ²⁴²	-piece:CLS/個 all/郎 _descend/下	A A V	56 467 58	3	5	2	個郎下	個 郎 下		全部	i n t + i n c t + i n t	囫囵下. copula-compound-modified
166	Xiamen	all	ts w a n ²⁴ + p ɔ ²²	complete/全 part/部	N N	54 55	1	4	1	全部	全 部		全部	i m n c t + i n t	copula-compound
3406	Beijing	and	x ɤ ³⁵	and/和	C	448	6	6	3	和	和		和	i n t	
3407	Ha_erbin	and	x ɤ ²¹	and/和	C	448	6	6	3	和	和		和	i n t	
3408	Jinan	and	x ɤ ⁵³	and/和	C	448	6	6	3	和	和		和	i n t	
3409	Rongcheng	and	x ɔ ³⁵	and/和	C	448	6	6	3	和	和		和	i n t	
3410	Taiyuan	and	x ɤ ²¹	and/和	C	448	6	6	3	和	和		和	i n t	
3411	Xi_an	and	x w o ²⁴	and/和	C	448	6	6	3	和	和		和	i m n t	
3412	Chengdu	and	x o ²¹	and/和	C	448	6	6	3	和	和		和	i n t	
3413	Nanjing	and	x o ¹³	and/和	C	448	6	6	3	和	和		和	i n t	
3414	Jixi	and	x ɵ ⁴⁴	and/和	C	448	6	6	3	和	和		和	i n t	
3415	Suzhou	and	t a ʔ ⁴	and/搭	C	223	10	7	7	搭	搭		和	i n c t	
3416	Wenzhou	and	kʰ w ɔ ⁵¹	and/伉	C	650	11	8	8	伉	伉		和	i m n t	
3417	Changsha	and	k ə n ³³	follow/跟	C	651	7	9	4	跟	跟		和	i n c t	
3418	Loudi	and	ɣ o ¹³	and/和	C	448	6	6	3	和	和		和	i n t	
3419	Nanchang	and	f o ⁴⁵	and/和	C	448	6	6	3	和	和		和	i n t	
3420	Meixian	and	tʰ u ŋ ¹¹	and/同	C	652	9	10	6	同	同		和	i n c t	
3421	Guilin	and	k ɤ n ⁴²	follow/跟	C	651	7	9	4	跟	跟		和	i n c t	
3422	Guangzhou	and	w ɔ ²¹	and/和	C	448	6	6	3	和	和		和	i n t	
3423	Fuzhou	and	k ɔy ŋ ²⁴²	give/共	C	625	8	11	5	共	共		和	i n c t	
3424	Xiamen	and	k a ʔ ³²	and/和	C	448	6	6	3	和	和		和	i n c t	
2893	Beijing	animal	t u ŋ ⁵¹ + u ⁵¹	move/動 thing/物	V N	588 179	12	12	9	動物	動 物		動物	i n c t + n t	
2894	Ha_erbin	animal	t u ŋ ⁵³ + u ⁰	move/動 thing/物	V N	588 179	12	12	9	動物	動 物		動物	i n c t + n t	
2895	Jinan	animal	t u ŋ ³¹ + u ⁰	move/動 thing/物	V N	588 179	12	12	9	動物	動 物		動物	i n c t + n t	
2896	Rongcheng	animal	t o ŋ ³³⁴ + u ³³⁴	move/動 thing/物	V N	588 179	12	12	9	動物	動 物		動物	i n c t + n t	
2897	Taiyuan	animal	t u ŋ ⁴⁵ + v ə ⁰	move/動 thing/物	V N	588 179	12	12	9	動物	動 物		動物	i n c t + i n t	
2898	Xi_an	animal	t u ŋ ⁴⁴ + v o ²¹	move/動 thing/物	V N	588 179	12	12	9	動物	動 物		動物	i n c t + i n t	
2899	Chengdu	animal	t o ŋ ²¹³ + u ²¹	move/動 thing/物	V N	588 179	12	12	9	動物	動 物		動物	i n c t + n t	
2900	Nanjing	animal	t o ŋ ⁴⁴ + u ʔ ⁵	move/動 thing/物	V N	588 179	12	12	9	動物	動 物		動物	i n c t + n c t	
2901	Jixi	animal	tʰ ɑ̃ ²¹³ + v ɤ ʔ ³²	move/動 thing/物	V N	588 179	12	12	9	動物	動 物		動物	i n t + i n c t	
2902	Suzhou	animal	ts o ŋ ⁴⁴ + s ã ⁴⁴	animal/眾 beast/牲	A N	589 590	17	13	11	眾牲	眾 牲		動物	i n c t + i n t	
2903	Wenzhou	animal	d o ŋ ²⁴ + v ai ²²	move/動 thing/物	V N	588 179	12	12	9	動物	動 物		動物	i n c t + i n t	
2904	Changsha	animal	t o ŋ ¹¹ + u ²⁴	move/動 thing/物	V N	588 179	12	12	9	動物	動 物		動物	i n c t + n t	
2905	Loudi	animal	d ɤ n ¹¹ + u ³⁵	move/動 thing/物	V N	588 179	12	12	9	動物	動 物		動物	i n c t + n t	
2906	Nanchang	animal	tʰ u ŋ ²¹ + u ⁰	move/動 thing/物	V N	588 179	12	12	9	動物	動 物		動物	i n c t + n t	
2907	Meixian	animal	tʰ u ŋ ⁵³ + v u t ⁵	move/動 thing/物	V N	588 179	12	12	9	動物	動 物		動物	i n c t + i n c t	
2908	Guilin	animal	t ɤ n ²⁵ + u ²²	move/動 thing/物	V N	588 179	12	12	9	動物	動 物		動物	i n c t + n t	!t ɤ ŋ ²⁵ + u ²²
2909	Guangzhou	animal	t o ŋ ³³ + m ɐ t ²	move/動 thing/物	V N	588 179	12	12	9	動物	動 物		動物	i n c t + i n c t	
2910	Fuzhou	animal	s i ²¹² + kʰ a ⁵⁵ + β a ⁵³	four/四 leg/骹 _creep/爬	N N V	225 279 591	14	14	10	四骹爬	四 骹 爬		動物	i n t + i n t + i n t	
2911	Xiamen	animal	t ɔ ŋ ²² + b u t ⁵	move/動 thing/物	V N	588 179	12	12	9	動物	動 物		動物	i n c t + i n c t	
3625	Beijing	ash	x w ei ⁵⁵	ash/灰	N	542	19	15	12	灰	灰		灰	i m n t	
3626	Ha_erbin	ash	x w ei ⁴⁴	ash/灰	N	542	19	15	12	灰	灰		灰	i m n t	
3627	Jinan	ash	x w ei ²¹³	ash/灰	N	542	19	15	12	灰	灰		灰	i m n t	
3628	Rongcheng	ash	x w ei ⁵²	ash/灰	N	542	19	15	12	灰	灰		灰	i m n t	
3629	Taiyuan	ash	x w ei ²¹	ash/灰	N	542	19	15	12	灰	灰		灰	i m n t	
3630	Xi_an	ash	x w ei ²¹	ash/灰	N	542	19	15	12	灰	灰		灰	i m n t	
3631	Chengdu	ash	x w ei ⁴⁵	ash/灰	N	542	19	15	12	灰	灰		灰	i m n t	
3632	Nanjing	ash	x w ei ³¹	ash/灰	N	542	19	15	12	灰	灰		灰	i m n t	
3633	Jixi	ash	f a ⁵⁵	ash/灰	N	542	19	15	12	灰	灰		灰	i n t	
3634	Suzhou	ash	h w e̞ ⁴⁴	ash/灰	N	542	19	15	12	灰	灰		灰	i m n t	
3635	Wenzhou	ash	f ai ⁴⁴	ash/灰	N	542	19	15	12	灰	灰		灰	i n t	
3636	Changsha	ash	f ei ³³	ash/灰	N	542	19	15	12	灰	灰		灰	i n t	
3637	Loudi	ash	x w e ⁴⁴	ash/灰	N	542	19	15	12	灰	灰		灰	i m n t	
3638	Nanchang	ash	f ɨi ⁴²	ash/灰	N	542	19	15	12	灰	灰		灰	i n t	
3639	Meixian	ash	f oi ³³	ash/灰	N	542	19	15	12	灰	灰		灰	i n t	
3640	Guilin	ash	f ei ⁴²	ash/灰	N	542	19	15	12	灰	灰		灰	i n t	
3641	Guangzhou	ash	f w i ⁵³	ash/灰	N	542	19	15	12	灰	灰		灰	i m n t	
3642	Fuzhou	ash	h w oi ⁵⁵ + h w oi ⁵⁵	ash/灰 _ash:RED/灰	N N2	542 792	19	16	12	灰灰	灰 灰		灰	i m n t + i m n t	
3643	Fuzhou	ash	h w oi ⁵⁵	ash/灰	N	542	19	15	12	灰	灰		灰	i m n t	
3644	Xiamen	ash	h e ⁵⁵	ash/灰	N	542	19	15	12	灰	灰		灰	i n t	
250	Beijing	back	p ei ⁵¹	back:N/背	N	72	20	17	13	背	背		背	i n t	
251	Ha_erbin	back	p ei ⁵³	back:N/背	N	72	20	17	13	背	背		背	i n t	
252	Jinan	back	p ei ³¹	back:N/背	N	72	20	17	13	背	背		背	i n t	
253	Rongcheng	back	p ei ⁵²	back:N/背	N	72	20	17	13	背	背		背	i n t	
254	Taiyuan	back	p ei ⁴⁵	back:N/背	N	72	20	17	13	背	背		背	i n t	
255	Xi_an	back	tɕ i ²¹ + p ei ²⁴	_spine:N/脊 back:N/背	N N	73 72	20	18	13	脊背	脊 背		背	i n t + i n t	
256	Xi_an	back	p ei ²⁴	back:N/背	N	72	20	17	13	背	背		背	i n t	
257	Chengdu	back	p ei ²¹³	back:N/背	N	72	20	17	13	背	背		背	i n t	
258	Nanjing	back	p ei ⁴⁴	back:N/背	N	72	20	17	13	背	背		背	i n t	
259	Jixi	back	p a ³⁵	back:N/背	N	72	20	17	13	背	背		背	i n t	
260	Suzhou	back	p e̞ ⁴¹²	back:N/背	N	72	20	17	13	背	背		背	i n t	
261	Wenzhou	back	p ai ⁴² + dʑ i ²⁴ + s a ŋ ⁴⁴	back:N/背 _sacrum/骶 _body/身	N N N	72 74 75	20	19	13	背骶身	背 骶 身		背	i n t + i n t + i n c t	骶 is the last bone of the spine
262	Changsha	back	p ei ⁵⁵	back:N/背	N	72	20	17	13	背	背		背	i n t	
263	Loudi	back	p e ³⁵	back:N/背	N	72	20	17	13	背	背		背	i n t	
264	Nanchang	back	p ei ⁴⁵ + tɕ j a ʔ ⁰	back:N/背 _spine:N/脊	N N	72 73	20	20	13	背脊	背 脊		背	i n t + i m n c t	
265	Meixian	back	p oi ⁵³	back:N/背	N	72	20	17	13	背	背		背	i n t	
266	Guilin	back	p ei ²⁵	back:N/背	N	72	20	17	13	背	背		背	i n t	
267	Guangzhou	back	p w i ³³	back:N/背	N	72	20	17	13	背	背		背	i m n t	
268	Fuzhou	back	pʰ j a ŋ ⁵⁵	back:N/背	N	72	20	17	13	背	背		背	i m n c t	irregular nasalization. Charaters is 𩩍. Rib
269	Xiamen	back	k a ⁵⁵ + ts j a ʔ ³²	shoulder.blade/胛 spine:N/脊	N N	76 73	21	21	13	胛脊	胛 脊		背	i n t + i m n c t	changed.
3583	Beijing	bad	x ai ⁵¹	bad/壞	A	663	25	22	14	壞	壞		壞	i n t	
3584	Ha_erbin	bad	x w ai ⁵³	bad/壞	A	663	25	22	14	壞	壞		壞	i m n t	
3585	Jinan	bad	x w ɛ ³¹	bad/壞	A	663	25	22	14	壞	壞		壞	i m n t	
3586	Rongcheng	bad	x w ai ³³⁴	bad/壞	A	663	25	22	14	壞	壞		壞	i m n t	
3587	Taiyuan	bad	x w ai ⁴⁵	bad/壞	A	663	25	22	14	壞	壞		壞	i m n t	
3588	Xi_an	bad	x w ɛ ⁴⁴	bad/壞	A	663	25	22	14	壞	壞		壞	i m n t	
3589	Chengdu	bad	x w ai ²¹³	bad/壞	A	663	25	22	14	壞	壞		壞	i m n t	
3590	Nanjing	bad	x w ɛ ⁴⁴	bad/壞	A	663	25	22	14	壞	壞		壞	i m n t	
3591	Jixi	bad	v ɔ ³¹	bad/壞	A	663	25	22	14	壞	壞		壞	i n t	
3592	Suzhou	bad	tɕʰ j ʏ ⁴⁴	bad/恘	A	664	27	23	16	恘	恘		壞	i m n t	
3593	Suzhou	bad	w ɑ ⁴¹²	bad/壞	A	663	25	22	14	壞	壞		壞	i n t	
3594	Wenzhou	bad	m ə ³⁴¹	bad/毛	A	777	28	24	17	毛～	毛		壞	i n t	
3595	Changsha	bad	f ai ¹¹	bad/壞	A	663	25	22	14	壞	壞		壞	i n t	
3596	Changsha	bad	k w ai ⁴¹	bad/拐	A	665	30	25	19	拐	拐		壞	i m n t	!ignore!
3597	Loudi	bad	ɣ w a ¹¹	bad/壞	A	663	25	22	14	壞	壞		壞	i m n t	
3598	Nanchang	bad	f ai ²¹	bad/壞	A	663	25	22	14	壞	壞		壞	i n t	
3599	Meixian	bad	f ai ⁵³	bad/壞	A	663	25	22	14	壞	壞		壞	i n t	
3600	Meixian	bad	p e ³¹	bad/鄙	A	666	32	26	21	鄙	鄙		壞	i n t	
3601	Guilin	bad	f ai ²¹	bad/壞	A	663	25	22	14	壞	壞		壞	i n t	
3602	Guangzhou	bad	w ai ²²	bad/壞	A	663	25	22	14	壞	壞		壞	i n t	
3603	Fuzhou	bad	pʰ ai ³²	bad/痞	A	667	26	27	15	痞	痞		壞	i n t	
3604	Fuzhou	bad	ŋ ai ⁵³	dull/呆	A	574	31	28	20	呆	呆		壞	i n t	
3605	Xiamen	bad	pʰ ai ⁵³	bad/否	A	100	29	29	18	否	否		壞	i n t	
829	Beijing	bark	ʂ u ⁵¹ + pʰ i ³⁵	_tree/树 skin/皮	N N	134 16	33	30	22	樹皮兒	树 皮		樹皮	i n t + i n t	METO META
830	Ha_erbin	bark	ʂ u ⁵³ + pʰ i ²⁴	_tree/树 skin/皮	N N	134 16	33	30	22	樹皮	树 皮		樹皮	i n t + i n t	
831	Jinan	bark	ʂ u ³¹ + pʰ i ⁵³	_tree/树 skin/皮	N N	134 16	33	30	22	樹皮	树 皮		樹皮	i n t + i n t	
832	Rongcheng	bark	ʃ y ³³⁴ + pʰ i ³⁵	_tree/树 skin/皮	N N	134 16	33	30	22	樹皮	树 皮		樹皮	i n t + i n t	
833	Taiyuan	bark	s u ⁴⁵ + pʰ i ²¹	_tree/树 skin/皮	N N	134 16	33	30	22	樹皮	树 皮		樹皮	i n t + i n t	
834	Xi_an	bark	f u ⁴⁴ + pʰ i ²⁴	_tree/树 skin/皮	N N	134 16	33	30	22	樹皮	树 皮		樹皮	i n t + i n t	
835	Chengdu	bark	s u ²¹³ + pʰ i ²¹	_tree/树 skin/皮	N N	134 16	33	30	22	樹皮	树 皮		樹皮	i n t + i n t	
836	Nanjing	bark	s u ⁴⁴ + pʰ i ¹³	_tree/树 skin/皮	N N	134 16	33	30	22	樹皮	树 皮		樹皮	i n t + i n t	
837	Jixi	bark	ɕ y ³¹ + pʰ ɿ ⁴⁴	_tree/树 skin/皮	N N	134 16	33	30	22	樹皮	树 皮		樹皮	i n t + i n t	
838	Suzhou	bark	z ʯ ²³¹ + b i ¹³	_tree/树 skin/皮	N N	134 16	33	30	22	樹皮	树 皮		樹皮	i n t + i n t	
839	Wenzhou	bark	z ɿ ²² + b ei ³⁴¹	_tree/树 skin/皮	N N	134 16	33	30	22	樹皮	树 皮		樹皮	i n t + i n t	
840	Changsha	bark	ɕ y ¹¹ + p i ¹³	_tree/树 skin/皮	N N	134 16	33	30	22	樹皮	树 皮		樹皮	i n t + i n t	
841	Loudi	bark	ʑ y ¹¹ + b i ¹³	_tree/树 skin/皮	N N	134 16	33	30	22	樹皮	树 皮		樹皮	i n t + i n t	
842	Nanchang	bark	s u ²¹ + pʰ i ²⁴	_tree/树 skin/皮	N N	134 16	33	30	22	樹皮	树 皮		樹皮	i n t + i n t	
843	Meixian	bark	s u ⁵³ + pʰ i ¹¹	_tree/树 skin/皮	N N	134 16	33	30	22	樹皮	树 皮		樹皮	i n t + i n t	
844	Guilin	bark	ɕ y ²¹ + p i ²²	_tree/树 skin/皮	N N	134 16	33	30	22	樹皮	树 皮		樹皮	i n t + i n t	
845	Guangzhou	bark	s y ²² + pʰ ei ²¹	_tree/树 skin/皮	N N	134 16	33	30	22	樹皮	树 皮		樹皮	i n t + i n t	
846	Fuzhou	bark	tsʰ j eu ²¹² + pʰ w oi ⁵³	_tree/树 skin/皮	N N	134 16	33	30	22	樹皮	树 皮		樹皮	i m n t + i m n t	
847	Xiamen	bark	tsʰ j u ²² + pʰ e ²⁴	_tree/树 skin/皮	N N	134 16	33	30	22	樹皮	树 皮		樹皮	i m n t + i n t	
1925	Beijing	because	i n ⁵⁵ + w ei ⁰	reason/因 in.order.to/为	P V	383 384	35	31	23	因为	因 为		因為	n c t + i n t	
1926	Ha_erbin	because	i n ⁴⁴ + ʋ ei ⁰	reason/因 in.order.to/为	P V	383 384	35	31	23	因为	因 为		因為	n c t + i n t	
1927	Ha_erbin	because	y ŋ ⁴⁴ + x u ⁰	because/庸 because/乎	P Pt	385 386	37	32	24	庸乎	庸 乎		因為	n c t + i n t	
1928	Jinan	because	j ẽ ²¹⁴ + v ei ³¹	reason/因 in.order.to/为	P V	383 384	35	31	23	因为	因 为		因為	i n t + i n t	
1929	Rongcheng	because	i n ⁵² + w ei ³⁵	reason/因 in.order.to/为	P V	383 384	35	31	23	因为	因 为		因為	n c t + i n t	
1930	Taiyuan	because	i ŋ ²¹ + v ei ⁴⁵	reason/因 in.order.to/为	P V	383 384	35	31	23	因为	因 为		因為	n c t + i n t	
1931	Xi_an	because	j ẽ ²¹ + w ei ²⁴	reason/因 in.order.to/为	P V	383 384	35	31	23	因为	因 为		因為	i n t + i n t	
1932	Chengdu	because	i n ⁴⁵ + w ei ²¹³	reason/因 in.order.to/为	P V	383 384	35	31	23	因为	因 为		因為	n c t + i n t	
1933	Nanjing	because	i n ³¹ + ʋ ei ¹³	reason/因 in.order.to/为	P V	383 384	35	31	23	因为	因 为		因為	n c t + i n t	
1934	Jixi	because	j ɑ̃ ⁵⁵ + v i ⁵⁵	reason/因 in.order.to/为	P V	383 384	35	31	23	因为	因 为		因為	i n t + i n t	
1935	Suzhou	because	i n ⁴⁴ + ɦ w e̞ ²³¹	reason/因 in.order.to/为	P V	383 384	35	31	23	因为	因 为		因為	n c t + i m n t	
1936	Wenzhou	because	j a ŋ ⁴⁴ + v u ³⁴¹	reason/因 in.order.to/为	P V	383 384	35	31	23	因为	因 为		因為	i n c t + i n t	
1937	Changsha	because	i n ³³ + w ei ¹¹	reason/因 in.order.to/为	P V	383 384	35	31	23	因为	因 为		因為	n c t + i n t	
1938	Loudi	because	i n ⁴⁴ + w i ¹¹	reason/因 in.order.to/为	P V	383 384	35	31	23	因为	因 为		因為	n c t + i n t	
1939	Nanchang	because	i n ⁴² + w i ²¹	reason/因 in.order.to/为	P V	383 384	35	31	23	因为	因 为		因為	n c t + i n t	
1940	Meixian	because	i n ³³ + v i ¹¹	reason/因 in.order.to/为	P V	383 384	35	31	23	因为	因 为		因為	n c t + i n t	
1941	Guilin	because	i ŋ ⁴² + w ei ²²	reason/因 in.order.to/为	P V	383 384	35	31	23	因为	因 为		因為	n c t + i n t	
1942	Guangzhou	because	j ɐ n ⁵³ + w ɐi ²²	reason/因 in.order.to/为	P V	383 384	35	31	23	因为	因 为		因為	i n c t + i n t	
1943	Fuzhou	because	i ŋ ⁵⁵ + ŋ w oi ²⁴²	reason/因 in.order.to/为	P V	383 384	35	31	23	因为	因 为		因為	n c t + i m n t	
1944	Xiamen	because	i ŋ ⁵⁵ + w i ²²	reason/因 in.order.to/为	P V	383 384	35	31	23	因为	因 为		因為	n c t + i n t	
2912	Beijing	belly	t u ⁵¹ + tsʰ ɿ ⁰	belly/肚 _-child:SUF/子	N S	278 19	39	33	25	肚子	肚 子		肚子	i n t + i n t	
2913	Ha_erbin	belly	t u ⁵³ + ts w ɿ ⁰	belly/肚 _-child:SUF/子	N S	278 19	39	33	25	肚子	肚 子		肚子	i n t + i m n t	
2914	Jinan	belly	t u ³¹ + ts ɿ ⁰	belly/肚 _-child:SUF/子	N S	278 19	39	33	25	肚子	肚 子		肚子	i n t + i n t	
2915	Rongcheng	belly	t u ³³⁴ + ts ɿ ⁰	belly/肚 _-child:SUF/子	N S	278 19	39	33	25	肚子	肚 子		肚子	i n t + i n t	
2916	Taiyuan	belly	t u ⁴⁵ + ts ə ʔ ⁰	belly/肚 _-child:SUF/子	N S	278 19	39	33	25	肚子	肚 子		肚子	i n t + i n c t	
2917	Xi_an	belly	t ou ⁴⁴ + ts ɿ ⁰	belly/肚 _-child:SUF/子	N S	278 19	39	33	25	肚子	肚 子		肚子	i n t + i n t	
2918	Chengdu	belly	t u ²¹³ + ts ɿ ⁵³	belly/肚 _-child:SUF/子	N S	278 19	39	33	25	肚子	肚 子		肚子	i n t + i n t	
2919	Chengdu	belly	t u ²¹³ + pʰ i ²¹	belly/肚 skin/皮	N N	278 16	39	34	25	肚皮	肚 皮		肚子	i n t + i n t	
2920	Nanjing	belly	t u ⁴⁴ + ts ɿ ⁰	belly/肚 _-child:SUF/子	N S	278 19	39	33	25	肚子	肚 子		肚子	i n t + i n t	
2921	Jixi	belly	tʰ u ²¹³ + ts ɿ ⁰	belly/肚 _-child:SUF/子	N S	278 19	39	33	25	肚子	肚 子		肚子	i n t + i n t	
2922	Suzhou	belly	d əu ²³¹ + b i ¹³	belly/肚 skin/皮	N S	278 16	39	34	25	肚皮	肚 皮		肚子	i n t + i n t	
2923	Wenzhou	belly	d øy ²⁴	belly/肚	N	278	39	35	25	肚	肚		肚子	i n t	
2924	Changsha	belly	t əu ⁵⁵ + ts ɿ ⁰	belly/肚 _-child:SUF/子	N S	278 19	39	33	25	肚子	肚 子		肚子	i n t + i n t	
2925	Loudi	belly	t ɤu ⁴² + ts ɿ ⁰	belly/肚 _-child:SUF/子	N S	278 19	39	33	25	肚子	肚 子		肚子	i n t + i n t	
2926	Nanchang	belly	t u ²¹³ + ts ɿ ⁰	belly/肚 _-child:SUF/子	N S	278 19	39	33	25	肚子	肚 子		肚子	i n t + i n t	
2927	Meixian	belly	t u ³¹	belly/肚	N	278	39	35	25	肚	肚		肚子	i n t	
2928	Guilin	belly	t u ²³ + ts e ²³	belly/肚 _-child:SUF/子	N S	278 19	39	33	25	肚子	肚 子		肚子	i n t + i n t	
2929	Guangzhou	belly	tʰ ou ²³	belly/肚	N	278	39	35	25	肚	肚		肚子	i n t	
2930	Fuzhou	belly	p u ʔ ²⁴ + l o ³²	belly/腹 old/老	N S	344 27	41	36	25	腹老	腹 老		肚子	i n c t + i n t	
2931	Xiamen	belly	p a k ³² + t ɔ ⁵³	belly/腹 belly/肚	N N	344 278	39	37	25	腹肚	腹 肚		肚子	i n c t + i n t	
2824	Beijing	big	t ɑ ⁵¹	big/大	A	34	44	38	26	大	大		大	i n t	
2825	Ha_erbin	big	t a ⁵³	big/大	A	34	44	38	26	大	大		大	i n t	
2826	Jinan	big	t a ³¹	big/大	A	34	44	38	26	大	大		大	i n t	
2827	Rongcheng	big	t a ³³⁴	big/大	A	34	44	38	26	大	大		大	i n t	
2828	Taiyuan	big	t a ⁴⁵	big/大	A	34	44	38	26	大	大		大	i n t	
2829	Xi_an	big	t ɑ ⁴⁴	big/大	A	34	44	38	26	大	大		大	i n t	
2830	Chengdu	big	t a ²¹³	big/大	A	34	44	38	26	大	大		大	i n t	
2831	Nanjing	big	t ɑ ⁴⁴	big/大	A	34	44	38	26	大	大		大	i n t	
2832	Jixi	big	tʰ ɵ ³¹	big/大	A	34	44	38	26	大	大		大	i n t	
2833	Suzhou	big	d əu ²³¹	big/大	A	34	44	38	26	大	大		大	i n t	
2834	Wenzhou	big	d ɤu ²²	big/大	A	34	44	38	26	大	大		大	i n t	
2835	Changsha	big	t ai ¹¹	big/大	A	34	44	38	26	大	大		大	i n t	
